Gene stable ID,Transcript stable ID,Transcript start (bp),Transcript end (bp),length
MGG_10932,MGG_10932T0,158646,160911,2265
MGG_00289,MGG_00289T0,3396743,3399392,2649
MGG_03269,MGG_03269T0,2455587,2460536,4949
MGG_14068,MGG_14068T0,441356,443579,2223
MGG_13607,MGG_13607T0,4902136,4914092,11956
MGG_04516,MGG_04516T0,880061,881672,1611
MGG_01753,MGG_01753T0,4706672,4709336,2664
MGG_15879,MGG_15879T0,6755376,6757141,1765
MGG_11124,MGG_11124T0,5111678,5113603,1925
MGG_05506,MGG_05506T0,5458880,5460496,1616
MGG_02886,MGG_02886T0,1143681,1145446,1765
MGG_05344,MGG_05344T0,4886160,4887074,914
MGG_00458,MGG_00458T0,2822681,2823709,1028
MGG_16522,MGG_16522T0,7316911,7318317,1406
MGG_14133,MGG_14133T0,183572,188911,5339
MGG_03811,MGG_03811T0,2962768,2964666,1898
MGG_07534,MGG_07534T0,944585,946933,2348
MGG_15339,MGG_15339T1,5412430,5416943,4513
MGG_15339,MGG_15339T0,5413242,5417499,4257
MGG_15866,MGG_15866T0,6601075,6603228,2153
MGG_06780,MGG_06780T0,2719457,2721939,2482
MGG_15904,MGG_15904T0,7243782,7244125,343
MGG_09992,MGG_09992T0,5028915,5030399,1484
MGG_03753,MGG_03753T0,3172966,3174790,1824
MGG_01525,MGG_01525T0,3901690,3902486,796
MGG_00264,MGG_00264T0,3479498,3481202,1704
MGG_05106,MGG_05106T0,4617176,4619296,2120
MGG_13129,MGG_13129T0,5776554,5778868,2314
MGG_06322,MGG_06322T0,4160666,4162489,1823
MGG_15753,MGG_15753T0,4403813,4409120,5307
MGG_04993,MGG_04993T0,4201012,4203356,2344
MGG_07054,MGG_07054T0,6203533,6205163,1630
MGG_06748,MGG_06748T0,2590700,2593793,3093
MGG_01445,MGG_01445T0,3551195,3552450,1255
MGG_07848,MGG_07848T0,6014876,6019324,4448
MGG_07576,MGG_07576T0,1088829,1090422,1593
MGG_04780,MGG_04780T0,6721311,6726915,5604
MGG_04780,MGG_04780T1,6721311,6726809,5498
MGG_06276,MGG_06276T0,4324844,4327432,2588
MGG_16613,MGG_16613T0,459466,459928,462
MGG_00957,MGG_00957T0,1003175,1005911,2736
MGG_18001,MGG_18001T0,1996979,1997261,282
MGG_12988,MGG_12988T0,3587439,3590575,3136
MGG_07962,MGG_07962T0,6396822,6398611,1789
MGG_08129,MGG_08129T0,5789173,5791887,2714
MGG_09237,MGG_09237T0,3873309,3874677,1368
MGG_05224,MGG_05224T0,5046777,5051031,4254
MGG_11505,MGG_11505T0,1941912,1943784,1872
MGG_07454,MGG_07454T0,694493,697243,2750
MGG_12131,MGG_12131T0,2198496,2203019,4523
MGG_01575,MGG_01575T0,4062798,4064128,1330
MGG_01297,MGG_01297T0,3015140,3016543,1403
MGG_15819,MGG_15819T0,5748231,5748992,761
MGG_14936,MGG_14936T0,2738825,2740113,1288
MGG_17923,MGG_17923T0,997664,998162,498
MGG_02535,MGG_02535T0,2463557,2466885,3328
MGG_17750,MGG_17750T0,3010028,3011999,1971
MGG_16608,MGG_16608T0,410629,411540,911
MGG_02331,MGG_02331T0,1431571,1433075,1504
MGG_00213,MGG_00213T0,3658396,3659641,1245
MGG_17823,MGG_17823T0,3738726,3740958,2232
MGG_00671,MGG_00671T0,2066670,2069062,2392
MGG_02182,MGG_02182T0,868725,869287,562
MGG_01448,MGG_01448T0,3568038,3570266,2228
MGG_16273,MGG_16273T0,4086615,4087746,1131
MGG_03937,MGG_03937T0,2510355,2514661,4306
MGG_03879,MGG_03879T0,2726730,2729292,2562
MGG_15889,MGG_15889T0,6982272,6982555,283
MGG_17893,MGG_17893T0,693157,693555,398
MGG_08253,MGG_08253T0,8103281,8104499,1218
MGG_09264,MGG_09264T0,3985107,3987208,2101
MGG_12955,MGG_12955T0,4281918,4284545,2627
MGG_16707,MGG_16707T1,1746822,1748733,1911
MGG_16707,MGG_16707T0,1747288,1748744,1456
MGG_15551,MGG_15551T0,1174136,1174441,305
MGG_05662,MGG_05662T0,6026510,6028054,1544
MGG_16930,MGG_16930T0,5789358,5790268,910
MGG_12948,MGG_12948T0,4475874,4477587,1713
MGG_07926,MGG_07926T0,6272367,6273930,1563
MGG_16598,MGG_16598T0,268734,269196,462
MGG_09720,MGG_09720T0,5391000,5393061,2061
MGG_09129,MGG_09129T0,99021,102400,3379
MGG_08966,MGG_08966T0,2303982,2305429,1447
MGG_15019,MGG_15019T0,1924387,1927355,2968
MGG_02472,MGG_02472T0,1983390,1984202,812
MGG_02417,MGG_02417T0,1770206,1772800,2594
MGG_00400,MGG_00400T0,3002901,3003981,1080
MGG_17558,MGG_17558T0,18458,20676,2218
MGG_14836,MGG_14836T0,4571953,4572867,914
MGG_08919,MGG_08919T0,2113635,2118509,4874
MGG_03721,MGG_03721T0,919644,922020,2376
MGG_06874,MGG_06874T0,3085442,3087895,2453
MGG_02042,MGG_02042T0,347808,351037,3229
MGG_07606,MGG_07606T0,1190390,1194036,3646
MGG_07606,MGG_07606T1,1190390,1193908,3518
MGG_05701,MGG_05701T0,6170426,6171351,925
MGG_17221,MGG_17221T0,4563020,4563580,560
MGG_05457,MGG_05457T0,5282377,5287625,5248
MGG_01802,MGG_01802T0,4883333,4887469,4136
MGG_00144,MGG_00144T0,3958937,3960496,1559
MGG_03236,MGG_03236T0,2593573,2595420,1847
MGG_17346,MGG_17346T0,1191084,1191501,417
MGG_03238,MGG_03238T0,2588595,2591049,2454
MGG_01778,MGG_01778T0,4795857,4799722,3865
MGG_00339,MGG_00339T0,3202503,3204622,2119
MGG_11589,MGG_11589T0,3119294,3120251,957
MGG_08083,MGG_08083T0,5624976,5627330,2354
MGG_03152,MGG_03152T0,2876034,2877684,1650
MGG_13659,MGG_13659T0,5481891,5483731,1840
MGG_08498,MGG_08498T0,428031,429788,1757
MGG_01270,MGG_01270T0,2910107,2911513,1406
MGG_00760,MGG_00760T0,1734331,1740133,5802
MGG_05982,MGG_05982T0,2181627,2183370,1743
MGG_14628,MGG_14628T0,4194823,4196629,1806
MGG_01550,MGG_01550T0,3979930,3982486,2556
MGG_15975,MGG_15975T0,8242418,8243426,1008
MGG_09759,MGG_09759T0,5285640,5286498,858
MGG_13248,MGG_13248T0,2056336,2056799,463
MGG_04057,MGG_04057T0,2098000,2099239,1239
MGG_02645,MGG_02645T0,2081376,2081903,527
MGG_02708,MGG_02708T0,1788506,1789749,1243
MGG_09608,MGG_09608T0,3238738,3241526,2788
MGG_14623,MGG_14623T0,67581,69499,1918
MGG_04311,MGG_04311T0,1216591,1218196,1605
MGG_15605,MGG_15605T0,2036299,2037104,805
MGG_10109,MGG_10109T0,4614286,4615255,969
MGG_15731,MGG_15731T0,4020270,4022368,2098
MGG_05381,MGG_05381T0,5025475,5027025,1550
MGG_08476,MGG_08476T0,359654,361122,1468
MGG_14690,MGG_14690T0,3070013,3071905,1892
MGG_17519,MGG_17519T0,3848063,3848410,347
MGG_10473,MGG_10473T0,356320,357879,1559
MGG_15693,MGG_15693T0,3452172,3452902,730
MGG_02854,MGG_02854T0,1263459,1265369,1910
MGG_06924,MGG_06924T0,3272476,3274821,2345
MGG_16563,MGG_16563T0,7890026,7890488,462
MGG_10103,MGG_10103T0,4639417,4641212,1795
MGG_13624,MGG_13624T0,5036273,5042359,6086
MGG_12986,MGG_12986T0,3612139,3614717,2578
MGG_05353,MGG_05353T0,4916822,4918649,1827
MGG_17047,MGG_17047T0,795506,796438,932
MGG_09102,MGG_09102T0,174766,176717,1951
MGG_06326,MGG_06326T0,4147885,4149195,1310
MGG_05716,MGG_05716T0,6227956,6228759,803
MGG_16998,MGG_16998T0,12695,13656,961
MGG_09239,MGG_09239T0,3881574,3884169,2595
MGG_12708,MGG_12708T0,2021545,2022399,854
MGG_06026,MGG_06026T0,2319053,2322013,2960
MGG_10463,MGG_10463T0,324161,326147,1986
MGG_07086,MGG_07086T0,6311919,6313694,1775
MGG_05004,MGG_05004T0,4270650,4274492,3842
MGG_00440,MGG_00440T0,2888371,2890892,2521
MGG_12999,MGG_12999T0,3392399,3396022,3623
MGG_01386,MGG_01386T0,3355992,3358062,2070
MGG_15183,MGG_15183T0,118654,120710,2056
MGG_13191,MGG_13191T0,2824382,2826211,1829
MGG_02431,MGG_02431T0,1835091,1835599,508
MGG_02899,MGG_02899T0,1098315,1101111,2796
MGG_02097,MGG_02097T0,557648,560290,2642
MGG_16477,MGG_16477T0,6575222,6580194,4972
MGG_00161,MGG_00161T0,3902695,3905216,2521
MGG_16045,MGG_16045T0,789136,789760,624
MGG_17263,MGG_17263T0,5179290,5180531,1241
MGG_15774,MGG_15774T0,4914566,4916455,1889
MGG_10076,MGG_10076T0,4718812,4720601,1789
MGG_17873,MGG_17873T0,423621,424716,1095
MGG_09361,MGG_09361T0,3553150,3554263,1113
MGG_08715,MGG_08715T0,365011,365424,413
MGG_10458,MGG_10458T0,306310,307326,1016
MGG_14211,MGG_14211T0,163418,163798,380
MGG_15336,MGG_15336T0,5307631,5308066,435
MGG_09856,MGG_09856T0,3870535,3873273,2738
MGG_01456,MGG_01456T0,3588548,3590967,2419
MGG_10730,MGG_10730T0,112640,116736,4096
MGG_02305,MGG_02305T0,1314944,1316362,1418
MGG_09666,MGG_09666T0,3021862,3022329,467
MGG_08559,MGG_08559T0,665256,666611,1355
MGG_16188,MGG_16188T0,2953306,2954274,968
MGG_06249,MGG_06249T0,4409443,4410940,1497
MGG_15631,MGG_15631T0,2489083,2489373,290
MGG_08122,MGG_08122T0,5767829,5771135,3306
MGG_16835,MGG_16835T0,4051672,4054251,2579
MGG_09048,MGG_09048T0,2564177,2568158,3981
MGG_09431,MGG_09431T0,3304013,3305431,1418
MGG_07800,MGG_07800T0,5799976,5802556,2580
MGG_00600,MGG_00600T0,2346373,2347261,888
MGG_02879,MGG_02879T0,1171651,1175529,3878
MGG_13049,MGG_13049T0,5122708,5123676,968
MGG_03841,MGG_03841T0,2861600,2868072,6472
MGG_08689,MGG_08689T0,453143,458210,5067
MGG_00826,MGG_00826T0,1485588,1487125,1537
MGG_04446,MGG_04446T0,829518,831767,2249
MGG_15930,MGG_15930T0,7660745,7661881,1136
MGG_14563,MGG_14563T0,3460563,3467097,6534
MGG_11072,MGG_11072T0,469929,471024,1095
MGG_06288,MGG_06288T0,4272332,4274012,1680
MGG_05551,MGG_05551T0,5603730,5605260,1530
MGG_13020,MGG_13020T0,4945906,4948275,2369
MGG_15735,MGG_15735T0,4064443,4065505,1062
MGG_04334,MGG_04334T0,1141862,1144003,2141
MGG_17756,MGG_17756T0,3056241,3056546,305
MGG_11385,MGG_11385T0,988932,991379,2447
MGG_09349,MGG_09349T0,3598975,3600612,1637
MGG_11914,MGG_11914T0,1759519,1762050,2531
MGG_02009,MGG_02009T0,216482,219811,3329
MGG_15250,MGG_15250T0,5750920,5753430,2510
MGG_13441,MGG_13441T0,1282426,1284166,1740
MGG_04387,MGG_04387T0,714384,716788,2404
MGG_15254,MGG_15254T0,5901496,5901793,297
MGG_14118,MGG_14118T0,387852,391066,3214
MGG_08821,MGG_08821T0,1763685,1766694,3009
MGG_16145,MGG_16145T0,2262409,2263673,1264
MGG_09304,MGG_09304T0,4157231,4158608,1377
MGG_16925,MGG_16925T0,5717331,5719025,1694
MGG_16925,MGG_16925T1,5717331,5719142,1811
MGG_16547,MGG_16547T0,7778184,7778896,712
MGG_08499,MGG_08499T0,430786,433151,2365
MGG_07325,MGG_07325T0,7264363,7265928,1565
MGG_02770,MGG_02770T0,1581954,1583482,1528
MGG_04975,MGG_04975T0,4132905,4134639,1734
MGG_08458,MGG_08458T0,284764,286230,1466
MGG_01304,MGG_01304T0,3040891,3043151,2260
MGG_00227,MGG_00227T0,3599083,3600433,1350
MGG_15981,MGG_15981T0,8295137,8295619,482
MGG_15518,MGG_15518T0,313468,314314,846
MGG_00734,MGG_00734T0,1829235,1830105,870
MGG_03722,MGG_03722T0,915927,918929,3002
MGG_12276,MGG_12276T0,5650112,5653641,3529
MGG_16346,MGG_16346T0,5061077,5061559,482
MGG_04432,MGG_04432T0,789547,791780,2233
MGG_17751,MGG_17751T0,3014698,3015105,407
MGG_06680,MGG_06680T0,2372712,2375424,2712
MGG_02180,MGG_02180T0,864636,865555,919
MGG_05654,MGG_05654T0,5990551,5993726,3175
MGG_10115,MGG_10115T0,4593218,4596030,2812
MGG_16001,MGG_16001T0,255727,257813,2086
MGG_11511,MGG_11511T0,2005598,2007108,1510
MGG_09167,MGG_09167T0,12317,14977,2660
