"","Gene","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","Transcript.stable.ID","Transcript.start..bp.","Transcript.end..bp.","length"
"17","MGG_00033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00033T0",4357078,4359019,1941
"18","MGG_00035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00035T0",4350336,4351802,1466
"19","MGG_00039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,1,3,2,2,1,"MGG_00039T0",4340656,4343659,3003
"20","MGG_00040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,10,12,2,13,10,2,"MGG_00040T0",4337029,4340077,3048
"21","MGG_00041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,6,1,0,2,1,0,"MGG_00041T0",4335823,4337198,1375
"22","MGG_00042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,"MGG_00042T0",4319471,4321511,2040
"23","MGG_00043",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"MGG_00043T0",4318537,4319025,488
"24","MGG_00045",0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,7,2,0,5,3,4,"MGG_00045T0",4311449,4313753,2304
"25","MGG_00046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MGG_00046T0",4307751,4310782,3031
"26","MGG_00047",0,0,0,0,1,0,0,0,0,0,0,0,2,1,4,17,0,5,5,1,10,7,1,0,"MGG_00047T0",4304806,4305296,490
"27","MGG_00048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,1,0,6,1,0,"MGG_00048T0",4297074,4299247,2173
"28","MGG_00049",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,1,2,1,15,6,2,"MGG_00049T0",4294578,4296787,2209
"29","MGG_00050",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,3,0,0,"MGG_00050T0",4288791,4293490,4699
"30","MGG_00052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,"MGG_00052T0",4285746,4286420,674
"31","MGG_00053",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,0,5,4,1,2,3,2,"MGG_00053T0",4282254,4284691,2437
"32","MGG_00054",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,1,0,0,0,0,1,1,0,"MGG_00054T0",4279675,4281735,2060
"33","MGG_00056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"MGG_00056T0",4273406,4274795,1389
"34","MGG_00057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"MGG_00057T0",4272488,4273770,1282
"35","MGG_00058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,"MGG_00058T0",4269742,4271203,1461
"36","MGG_00059",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00059T0",4267744,4269568,1824
"37","MGG_00061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,"MGG_00061T0",4259675,4260722,1047
"38","MGG_00062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,0,1,4,2,0,"MGG_00062T0",4254934,4258034,3100
"39","MGG_00063",0,0,0,0,2,1,0,0,1,0,0,0,1,2,0,8,0,3,18,11,3,7,11,1,"MGG_00063T0",4248153,4255066,6913
"40","MGG_00065",0,0,1,0,0,0,1,0,0,0,0,0,2,1,3,6,2,2,14,4,9,10,6,4,"MGG_00065T0",4243278,4246376,3098
"41","MGG_00066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00066T0",4241476,4243114,1638
"42","MGG_00067",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,4,2,1,8,5,0,"MGG_00067T0",4237660,4239835,2175
"43","MGG_00068",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,1,0,3,4,0,"MGG_00068T0",4235388,4237630,2242
"44","MGG_00070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,0,"MGG_00070T0",4230327,4232501,2174
"45","MGG_00071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00071T0",4227026,4228442,1416
"46","MGG_00072",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00072T0",4219528,4221514,1986
"47","MGG_00073",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"MGG_00073T0",4213827,4216856,3029
"48","MGG_00074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00074T0",4212351,4213484,1133
"49","MGG_00075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,0,1,1,0,"MGG_00075T0",4208270,4210258,1988
"50","MGG_00076",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,1,"MGG_00076T0",4205127,4207681,2554
"51","MGG_00077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"MGG_00077T0",4200820,4202875,2055
"52","MGG_00078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00078T0",4196789,4198637,1848
"53","MGG_00079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00079T1",4193597,4195768,2171
"54","MGG_00079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00079T0",4193964,4195902,1938
"55","MGG_00080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,"MGG_00080T0",4191916,4192665,749
"56","MGG_00081",0,0,0,0,0,0,0,1,10,0,2,1,6,6,11,96,4,6,183,101,23,322,106,18,"MGG_00081T0",4185879,4186895,1016
"57","MGG_00082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"MGG_00082T0",4182147,4185574,3427
"58","MGG_00083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00083T0",4180174,4181083,909
"59","MGG_00084",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,3,3,0,0,1,2,0,"MGG_00084T0",4177394,4179055,1661
"60","MGG_00085",0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,2,2,2,1,"MGG_00085T0",4174670,4177079,2409
"61","MGG_00086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00086T0",4171908,4173424,1516
"62","MGG_00087",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,1,7,0,0,4,3,0,"MGG_00087T0",4162832,4164490,1658
"63","MGG_00088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00088T0",4158931,4160807,1876
"64","MGG_00095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00095T0",4150703,4153922,3219
"65","MGG_00096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"MGG_00096T0",4149210,4151088,1878
"66","MGG_00097",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,18,5,1,5,10,1,"MGG_00097T0",4147387,4149294,1907
"67","MGG_00099",0,0,0,0,0,0,0,4,0,1,1,1,0,0,2,12,0,0,78,27,1,27,20,1,"MGG_00099T0",4144256,4146170,1914
"68","MGG_00100",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"MGG_00100T0",4142729,4143957,1228
"69","MGG_00101",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,1,0,3,2,1,"MGG_00101T0",4140377,4141995,1618
"70","MGG_00102",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,"MGG_00102T0",4137913,4140256,2343
"71","MGG_00103",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,2,3,7,1,1,0,1,1,"MGG_00103T0",4136501,4138015,1514
"72","MGG_00104",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,6,1,1,3,2,0,"MGG_00104T0",4135345,4136335,990
"73","MGG_00105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,0,"MGG_00105T0",4128779,4135483,6704
"74","MGG_00106",0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,3,1,0,3,0,"MGG_00106T0",4125512,4128611,3099
"75","MGG_00109",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,1,6,5,3,11,1,1,"MGG_00109T0",4109352,4112466,3114
"76","MGG_00110",0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,2,10,0,0,0,1,0,"MGG_00110T0",4105390,4107074,1684
"77","MGG_00111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,1,0,9,1,0,"MGG_00111T0",4099182,4104366,5184
"78","MGG_00112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,"MGG_00112T0",4094666,4096047,1381
"79","MGG_00116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00116T0",4085455,4087244,1789
"80","MGG_00117",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,2,0,3,0,0,"MGG_00117T0",4081847,4084562,2715
"81","MGG_00118",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,5,6,0,6,2,0,"MGG_00118T0",4076768,4081523,4755
"82","MGG_00119",0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,10,0,1,14,9,3,13,9,3,"MGG_00119T0",4071842,4073262,1420
"83","MGG_00120",0,0,0,0,0,0,3,0,10,0,0,1,0,1,0,5,1,2,9,1,1,3,2,0,"MGG_00120T0",4067772,4068489,717
"84","MGG_00123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"MGG_00123T0",4057888,4062504,4616
"85","MGG_00124",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,2,1,8,3,0,7,15,4,"MGG_00124T0",4054083,4058270,4187
"86","MGG_00125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,2,3,2,1,0,"MGG_00125T0",4051120,4053117,1997
"87","MGG_00126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,2,0,"MGG_00126T0",4047005,4051199,4194
"88","MGG_00127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,3,"MGG_00127T0",4044225,4046538,2313
"89","MGG_00128",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,2,1,6,5,0,"MGG_00128T0",4041045,4044071,3026
"90","MGG_00129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,"MGG_00129T0",4039482,4041244,1762
"91","MGG_00130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,"MGG_00130T0",4037230,4039309,2079
"92","MGG_00133",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,2,0,1,2,3,0,"MGG_00133T0",4021275,4023403,2128
"93","MGG_00134",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,9,3,1,7,3,0,7,1,2,"MGG_00134T0",4014666,4019641,4975
"94","MGG_00135",0,0,0,1,0,0,1,0,0,0,0,0,1,1,6,10,0,2,9,1,1,7,7,1,"MGG_00135T0",3997175,3999490,2315
"95","MGG_00136",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,6,0,0,2,0,0,"MGG_00136T0",3995001,3997006,2005
"96","MGG_00137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5,1,0,"MGG_00137T0",3991016,3995223,4207
"97","MGG_00138",0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,1,1,3,2,0,6,4,0,"MGG_00138T0",3987878,3990977,3099
"98","MGG_00139",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,0,3,9,7,2,14,4,5,"MGG_00139T0",3984385,3987702,3317
"99","MGG_00140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,1,0,"MGG_00140T0",3982175,3984504,2329
"100","MGG_00141",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,0,1,8,5,0,27,15,5,"MGG_00141T0",3976052,3981158,5106
"101","MGG_00142",0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,8,0,0,2,1,1,"MGG_00142T0",3967676,3970670,2994
"102","MGG_00143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,2,0,3,6,2,"MGG_00143T0",3961190,3963639,2449
"103","MGG_00144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00144T0",3958937,3960496,1559
"104","MGG_00145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"MGG_00145T0",3957303,3960599,3296
"105","MGG_00146",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,1,0,0,5,0,"MGG_00146T0",3955477,3957126,1649
"106","MGG_00148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00148T0",3949428,3950609,1181
"107","MGG_00149",0,0,0,2,0,1,0,0,0,0,0,0,0,1,8,7,1,2,15,7,2,17,12,0,"MGG_00149T0",3946263,3949596,3333
"108","MGG_00150",0,0,0,3,0,0,1,0,0,0,0,1,0,1,5,17,1,7,38,14,5,44,38,9,"MGG_00150T0",3939275,3941260,1985
"109","MGG_00151",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,3,7,2,0,4,1,0,"MGG_00151T0",3934588,3939195,4607
"110","MGG_00152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,0,"MGG_00152T0",3929861,3934291,4430
"111","MGG_00153",0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,10,1,1,13,5,0,7,13,1,"MGG_00153T0",3927085,3929434,2349
"112","MGG_00154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,"MGG_00154T0",3926271,3927179,908
"113","MGG_00155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,7,2,0,"MGG_00155T0",3921921,3925730,3809
"114","MGG_00156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00156T0",3919770,3920881,1111
"115","MGG_00157",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,5,0,1,2,4,1,"MGG_00157T0",3916341,3918971,2630
"116","MGG_00158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00158T0",3913945,3915718,1773
"117","MGG_00160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00160T0",3905698,3908367,2669
"118","MGG_00161",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,"MGG_00161T0",3902695,3905216,2521
"119","MGG_00162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,9,9,1,"MGG_00162T0",3901450,3902553,1103
"120","MGG_00163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MGG_00163T0",3898798,3900733,1935
"121","MGG_00164",0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,5,1,0,7,2,1,10,10,4,"MGG_00164T0",3892912,3897039,4127
"122","MGG_00166",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,"MGG_00166T0",3883740,3884843,1103
"123","MGG_00167",0,0,0,0,0,0,0,0,6,0,0,1,2,1,3,15,1,1,22,2,5,23,9,7,"MGG_00167T0",3881422,3882980,1558
"124","MGG_00168",0,0,0,0,0,0,1,0,6,0,0,0,2,3,4,18,4,4,24,5,4,43,30,0,"MGG_00168T0",3878576,3881290,2714
"125","MGG_00169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,"MGG_00169T0",3876648,3878460,1812
"126","MGG_00170",0,0,0,0,0,0,0,0,1,0,0,0,4,0,7,9,1,0,11,6,0,17,7,0,"MGG_00170T0",3875079,3876765,1686
"127","MGG_00171",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,1,3,2,0,5,2,0,"MGG_00171T0",3872092,3874230,2138
"128","MGG_00172",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1,0,"MGG_00172T0",3869646,3871953,2307
"129","MGG_00174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,"MGG_00174T0",3864672,3867707,3035
"130","MGG_00175",0,0,0,0,0,0,1,1,1,0,0,0,3,3,6,25,4,2,50,16,3,20,15,3,"MGG_00175T0",3861785,3864520,2735
"131","MGG_00176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,"MGG_00176T0",3846234,3847554,1320
"132","MGG_00177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"MGG_00177T0",3843680,3845190,1510
"133","MGG_00178",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,4,3,0,4,1,1,"MGG_00178T0",3842305,3843579,1274
"134","MGG_00179",0,0,0,2,0,2,0,0,0,0,1,0,1,2,2,6,2,1,21,19,7,50,42,13,"MGG_00179T0",3833966,3838209,4243
"135","MGG_00180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"MGG_00180T0",3831458,3833604,2146
"136","MGG_00181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"MGG_00181T0",3828785,3830359,1574
"137","MGG_00183",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,1,2,0,5,6,1,"MGG_00183T0",3820391,3825429,5038
"138","MGG_00184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,4,9,10,10,5,30,7,1,"MGG_00184T0",3814933,3818683,3750
"139","MGG_00187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,"MGG_00187T0",3801393,3802752,1359
"140","MGG_00190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"MGG_00190T0",3792375,3793905,1530
"141","MGG_00193",0,0,0,0,0,1,0,3,0,0,0,0,1,1,1,2,0,0,5,0,1,5,2,0,"MGG_00193T0",3773251,3776735,3484
"142","MGG_00194",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,3,1,"MGG_00194T0",3770040,3772322,2282
"143","MGG_00195",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"MGG_00195T0",3764076,3767902,3826
"144","MGG_00198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00198T0",3757484,3759307,1823
"145","MGG_00199",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,4,1,0,"MGG_00199T0",3738599,3744799,6200
"146","MGG_00201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"MGG_00201T0",3720560,3723598,3038
"147","MGG_00202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"MGG_00202T0",3718597,3720360,1763
"148","MGG_00203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"MGG_00203T0",3710919,3713439,2520
"149","MGG_00204",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,1,7,8,9,10,4,3,"MGG_00204T0",3705327,3708317,2990
"150","MGG_00205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,1,0,0,"MGG_00205T0",3699988,3701817,1829
"151","MGG_00207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"MGG_00207T0",3686811,3687958,1147
"152","MGG_00208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,"MGG_00208T0",3684230,3686926,2696
"153","MGG_00210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,1,0,3,5,0,"MGG_00210T0",3663453,3664810,1357
"154","MGG_00211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00211T0",3660853,3663131,2278
"155","MGG_00212",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,5,2,2,9,6,3,"MGG_00212T0",3659790,3661094,1304
"156","MGG_00213",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"MGG_00213T0",3658396,3659641,1245
"157","MGG_00215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"MGG_00215T0",3644516,3645530,1014
"158","MGG_00216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"MGG_00216T0",3638444,3638936,492
"159","MGG_00220",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,5,3,0,5,2,2,"MGG_00220T0",3614594,3616311,1717
"160","MGG_00221",0,0,0,2,0,0,0,0,0,0,0,0,4,7,9,18,3,4,32,9,1,22,27,1,"MGG_00221T0",3612557,3614157,1600
"161","MGG_00222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,4,0,"MGG_00222T0",3610127,3612851,2724
"162","MGG_00223",0,0,0,0,0,0,0,1,2,0,0,0,11,2,4,18,2,3,50,30,4,39,21,3,"MGG_00223T0",3607572,3609388,1816
"163","MGG_00225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MGG_00225T0",3603321,3604104,783
"164","MGG_00226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"MGG_00226T0",3599292,3601973,2681
"165","MGG_00227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00227T0",3599083,3600433,1350
"166","MGG_00230",0,0,0,0,0,0,0,0,0,0,1,1,23,17,24,45,13,10,6,4,0,4,1,0,"MGG_00230T0",3585384,3585875,491
"167","MGG_00232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00232T0",3582026,3582256,230
"168","MGG_00233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00233T0",3573634,3581153,7519
"169","MGG_00234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00234T0",3570990,3572333,1343
"170","MGG_00238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00238T0",3564482,3566431,1949
"171","MGG_00239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00239T0",3559326,3563429,4103
"172","MGG_00241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00241T0",3548461,3555648,7187
"173","MGG_00242",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,"MGG_00242T0",3547028,3548056,1028
"174","MGG_00243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MGG_00243T0",3541990,3544311,2321
